name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
london,2023-05-26,19.5,10.1,14.2,19.5,10.1,14.2,6.3,60.5,0,0,0,,0,0,34.9,21.4,67.5,1031.2,26.1,20.2,215.7,18.6,9,10,2023-05-26T04:55:03,2023-05-26T21:00:54,0.22,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,F6665,03772099999,03770099999"
london,2023-05-27,21.1,9.5,14.6,21.1,8.2,14.4,7.7,65.3,0,0,0,,0,0,25.1,14.9,65.6,1026.6,16.6,20.3,209.6,18.2,9,10,2023-05-27T04:54:00,2023-05-27T21:02:09,0.25,Clear,Clear conditions throughout the day.,clear-day,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-05-28,22.1,10.3,16.1,22.1,10.3,16.1,6.2,55.6,0,0,0,,0,0,38.5,24.1,59.4,1023.3,7.9,27.2,212.9,18.4,8,10,2023-05-28T04:52:59,2023-05-28T21:03:23,0.28,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-05-29,17.6,9.1,13.5,17.6,7,13.2,5.2,58.5,0,0,0,,0,0,41,26.8,56.5,1027.5,22,28,182.3,15.8,8,10,2023-05-29T04:52:01,2023-05-29T21:04:35,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-05-30,16.6,10.1,13.2,16.6,10.1,13.2,7,66.3,0,0,0,,0,0,38.7,24.4,49.8,1029.2,74.3,29.1,143.5,12.4,8,10,2023-05-30T04:51:06,2023-05-30T21:05:45,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-05-31,18.5,10.6,13.9,18.5,10.6,13.9,8.9,72.8,0.001,100,4.17,rain,0,0,35.3,22.5,52.4,1026.9,88.1,32.6,107.3,9.3,6,10,2023-05-31T04:50:13,2023-05-31T21:06:53,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-06-01,19.6,10.3,13.7,19.6,10.3,13.7,7.9,68.9,0,0,0,,0,0,37.8,21.6,48.4,1025.5,74.3,27.3,102.5,8.8,6,10,2023-06-01T04:49:23,2023-06-01T21:07:59,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03684099999,03768099999,EGLC,03772099999,03770099999"
london,2023-06-02,19.1,11,13.9,19.1,11,13.9,5.8,58.7,0,0,0,,0,0,35.7,21.4,50.7,1024.5,62.2,30.8,179.5,15.6,9,10,2023-06-02T04:48:36,2023-06-02T21:09:03,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-06-03,21.6,9,15,21.6,7.4,14.6,8.1,65.6,0,0,0,,0,0,35.1,21.2,54.9,1023.4,37.9,26.3,114.3,9.8,6,10,2023-06-03T04:47:52,2023-06-03T21:10:05,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-06-04,22,10.1,16,22,10.1,16,7.8,60.4,0,0,0,,0,0,30.3,18.3,55.8,1023.8,0,37.7,217.5,18.7,9,10,2023-06-04T04:47:11,2023-06-04T21:11:05,0.5,Clear,Clear conditions throughout the day.,clear-day,"03680099999,D5621,03672099999,03781099999,03684099999,03772099999,03770099999"
